space,latitude,longtitude,elevation,w01,w02,w03,w04,folderPath,spaceType,building
D218,23.0258,72.5873,51.0,-73,-81,-81,-73,/D218,dfwae,daw
MtechLab,23.0258,72.5873,51.0,-58,-71,-71,-70,/MtechLab,Lab,Laboratory
